"","Coverage","Uncut","Cut","Diversity","Substitutions","Indel","Cmut","CmutPam","C.T","length","active.UncutPAM.qualiy","uncut.quality","inactive.PAM.quality","cut.length","all.length","Mutationperbase","System","Day","Lane","gRNA","p.cut","p.uncut","p.uncut.quality","Day.c","replicate","p.active.uncut.PAM","p.inactive.cut"
"42",9568,8942,626,0.0692329789266771,0.0745192307692308,0.00898829431438127,0.0510033444816054,0.00501672240802676,0.00512123745819398,24.9985367892977,613,8789,166,24.982028241335,24.9985367892977,"0.07_0.03_0.07_0.08_0.09_0.07_0.03_0.11_0.04_0.09_0.05_0.07_0.1_0.09_0.09_0.06_0.07_0.12_0.08_0.1","BE3",0,8227,"g4",0.0531725133780685,0.934573578595318,0.918582775919732,0,"Replicate1",0.0640677257525084,0.0173494983277592
"43",10521,1780,8741,0.465976769841219,1.12470297500238,3.04334188765326,0.588537211291702,0.468871780249026,0.0816462313468301,21.4116528847068,7598,1771,1152,20.6853714285714,21.4116528847068,"0.04_0.04_0.08_0.07_0.08_0.05_0.06_0.08_0.04_0.05_0.09_0.13_0.15_0.14_0.14_0.21_0.15_0.6_0.47_0.07","Cas9",10,8238,"g4",0.741453897701247,0.169185438646517,0.16833000665336,10,"Replicate1",0.722174698222602,0.109495295124038
"44",33078,10751,22327,0.365938662206721,0.471763710018744,2.48730273898059,0.225315919946792,0.210955922365318,0.0183505653304311,22.260686861358,20629,10729,1720,20.9455904067296,22.260686861358,"0.01_0.06_0.03_0.02_0.03_0.05_0.03_0.02_0.06_0.03_0.05_0.12_0.2_0.21_0.19_0.33_0.23_0.28_0.26_0.05","Cas9",8,8238,"g3",0.571637052588458,0.325019650523006,0.32435455589818,8,"Replicate1",0.623647137069956,0.0519983070318641
"45",1172,283,889,0.324377663431516,2.14505119453925,1.41638225255973,1.57849829351536,1.16723549488055,0.0904436860068259,26.8250853242321,770,283,119,25.814398200225,26.8250853242321,"0.42_0.15_0.17_0.27_0.32_0.29_0.17_0.15_0.27_0.24_0.12_0.14_0.1_0.38_0.08_0.18_0.22_0.22_0.09_0.24","Cas9",8,8238,"g9",0.656573116691285,0.241467576791809,0.241467576791809,8,"Replicate1",0.656996587030717,0.101535836177474
"46",18437,6472,11965,0.388264663993786,0.462710853175679,2.78190594999186,0.127678038726474,0,0.0303737050496285,22.6452242772685,8504,6467,3466,21.3730158730159,22.6452242772685,"0.11_0.21_0.2_0.08_0.18_0.2_0.15_0.14_0.11_0.11_0.14_0.2_0.26_0.14_0.21_0.19_0.22_0.08_0.22_0.1","BE3",18,8238,"g2",0.562502938272766,0.351033248359278,0.350762054564192,18,"Replicate1",0.461246406682215,0.187991538753593
"47",177107,44661,132446,0.334351090396851,0.465503904419362,2.20210381294923,0.194131231402486,0.0395241294810482,0.0638540543287391,23.2421361098093,115051,44309,17747,22.6555595716803,23.2421361098093,"0.04_0.06_0.11_0.11_0.12_0.07_0.06_0.12_0.09_0.1_0.11_0.13_0.19_0.17_0.15_0.25_0.29_0.18_0.4_0.12","Cas9",4,8238,"g1",0.652687705742051,0.252169592393299,0.250182093310823,4,"Replicate1",0.649612945846296,0.10020496084288
"48",16371,2839,13532,0.409734634305268,0.948689756276342,2.60454462158695,0.50003054181174,0.403029747724635,0.0465457210921752,21.9968847352025,12223,2830,1318,21.3692489476405,21.9968847352025,"0.04_0.04_0.09_0.08_0.08_0.05_0.05_0.08_0.06_0.05_0.07_0.11_0.16_0.12_0.1_0.16_0.15_0.52_0.44_0.09","BE3",8,8238,"g4",0.736555628129763,0.173416407061267,0.172866654449942,8,"Replicate1",0.7466251298027,0.0805082157473581
"49",30387,13339,17048,0.191114490814862,0.18389442853852,0.950077335702768,0.0225096258268338,0,0.0139204264981736,24.5515187415671,16021,13228,1138,24.2055481088642,24.5515187415671,"0.02_0.03_0.02_0.02_0.03_0.03_0.03_0.04_0.03_0.04_0.04_0.1_0.08_0.11_0.17_0.07_0.16_0.16_0.38_0.07","BE3",4,8238,"g2",0.480455429360539,0.438970612432948,0.435317734557541,4,"Replicate1",0.527232040017113,0.0374502254253464
"50",137162,57477,79685,0.305929520540903,0.404332103643866,1.95379186655196,0.204232950817282,0.188375789212756,0.0127732170717837,22.9171782272058,74241,57372,5549,21.4195638551197,22.9171782272058,"0.04_0.09_0.06_0.05_0.07_0.07_0.05_0.05_0.1_0.05_0.07_0.1_0.19_0.25_0.19_0.29_0.26_0.28_0.31_0.07","BE3",4,8238,"g3",0.478289836978704,0.419044633353261,0.418279115206836,4,"Replicate1",0.541265073416836,0.0404558113763287
"51",916,376,540,0.671577852564994,3.4410480349345,3.64628820960699,1.72489082969432,0.0993449781659389,0.51528384279476,25.7401746724891,89,369,458,22.8665447897623,25.7401746724891,"0.08_0.57_0.19_0.23_0.59_0.07_0.36_0.24_0.41_0.36_0.25_0.25_0.41_0.09_0.12_0.49_0.3_0.48_0.25_0.12","Cas9",8,8238,"g6",0.451505016722408,0.410480349344978,0.402838427947598,8,"Replicate1",0.0971615720524018,0.5
