"","X","File_Name","Day","Lane","gRNA","System","Coverage","p.uncut","div","Mean_length","Diversity","Indels","Replicate"
"53",53,"C07_8468",10,8468,"g7","Cas9",1107,0.168925023,3.67570009,26.95754291,0.0984959588931114,0.802521008403361,"Replicate2"
"54",54,"C10_8238",10,8238,"g4","Cas9",10521,0.169185439,-8.589012451,21.41165288,0.180759083228023,1.63939825529642,"Replicate1"
"55",55,"C11_8238",18,8238,"g3","BE3",34570,0.226207695,-7.840381834,21.35964709,0.19816678795941,2.30418082048602,"Replicate1"
"56",56,"C12_8238",4,8238,"g2","Cas9",35493,0.337474995,8.252218747,24.37001662,0.079279263558524,0.506799386672699,"Replicate1"
"57",57,"C5_8238",4,8238,"g1","Cas9",32319,0.227853585,1.900956094,23.62235837,0.104350523710029,0.629908056898527,"Replicate1"
"58",58,"C7_8238",4,8238,"g5","BE3",30010,0.681239587,11.14615128,23.91029657,0.0628412121918805,0.537835613933502,"Replicate1"
"59",59,"C8_8238",8,8238,"g4","Cas9",12672,0.12271149,-5.009232955,22.10819129,0.152900540659187,1.20429632899286,"Replicate1"
"60",60,"C9_8238",8,8238,"g5","BE3",35966,0.702163154,11.92520714,24.25740978,0.053165623950519,0.338815284669293,"Replicate1"
"61",61,"D01_8227",0,8227,"g4","Cas9",5033,0.94238029,19.40870256,24.99761574,0.00880626223091976,0.000507356671740233,"Replicate1"
"62",62,"D01_8467",32,8467,"g6","Cas9",117,0.401709402,-13.48717949,24.4017094,0.206316861946001,2.86324786324786,"Replicate2"
"63",63,"D01_8468",4,8468,"g4","BE3",5594,0.16124419,-2.450125134,22.98051484,0.138882648812133,0.951036096256685,"Replicate2"
"64",64,"D02_8227",0,8227,"g3","BE3",8324,0.952426718,19.58613647,24.99903892,0.0078264119418735,0,"Replicate1"
"65",65,"D02_8467",32,8467,"g6","BE3",482,0.143153527,-46.37136929,24.61618257,0.293855340709337,1.41453831041257,"Replicate2"
"66",66,"D02_8468",32,8468,"g4","Cas9",12339,0.0691304,-3.611799984,22.52451576,0.149001022648623,1.08777381944971,"Replicate2"
"67",67,"D03_8238",2,8238,"g2","Cas9",31991,0.599168516,13.58122597,24.79469226,0.0448644782545249,0.219361796261476,"Replicate1"
"68",68,"D03_8467",2,8467,"g6","Cas9",102,0.833333333,14.68627451,28.61764706,0.0416752630493089,0.414414414414414,"Replicate2"
"69",69,"D03_8468",10,8468,"g4","BE3",11686,0.258343317,-2.77708369,22.92931713,0.141776027825797,1.00952154248988,"Replicate2"
"70",70,"D04_8227",4,8227,"g4","BE3",2513,0.157580581,-0.768404298,23.32550736,0.123027985458536,0.663179916317992,"Replicate1"
"71",71,"D04_8467",2,8467,"g6","BE3",95,0.694736842,-2.378947368,26.81052632,0.0993098688750863,0.723809523809524,"Replicate2"
"72",72,"D04_8468",10,8468,"g4","Cas9",12921,0.152774553,-3.56334649,22.44787555,0.156091511880954,1.28778658363997,"Replicate2"
"73",73,"D05_8227",4,8227,"g3","Cas9",2252,0.465808171,4.695825933,23.19049734,0.102379007555646,1.02289156626506,"Replicate1"
"74",74,"D05_8467",25,8467,"g6","Cas9",226,0.455752212,-4.650442478,25.0619469,0.169695822289537,2.65350877192982,"Replicate2"
"75",75,"D05_8468",18,8468,"g4","BE3",2283,0.187910644,-35.92247043,24.38239159,0.253972495192102,0.09224237746044,"Replicate2"
"76",76,"D06_8227",4,8227,"g2","BE3",3134,0.375558392,7.0976388,24.511806,0.0899674459899379,0.410700236034618,"Replicate1"
"77",77,"D06_8467",25,8467,"g6","BE3",190,0.594736842,-1.173684211,26.91578947,0.140346153846154,1.06730769230769,"Replicate2"
"78",78,"D06_8468",18,8468,"g4","Cas9",5112,0.175665102,-13.8393975,20.33783255,0.222398606495608,2.36058779201206,"Replicate2"
"79",79,"D07_8467",25,8467,"g1","BE3",4476,0.328865058,5.722520107,24.02412869,0.0906707710258851,0.533837934105076,"Replicate2"
"80",80,"D07_8468",10,8468,"g7","Cas9",390,0.225641026,4.515384615,27.18974359,0.0982296005880912,0.806603773584906,"Replicate2"
"81",81,"D10_8238",18,8238,"g5","Cas9",18791,0.580171359,5.875898036,23.30253845,0.0986516002003561,0.933148047049481,"Replicate1"
"82",82,"D11_8238",18,8238,"g4","BE3",15670,0.247223995,-12.86949585,23.16547543,0.196127950201156,1.12363238512035,"Replicate1"
"83",83,"D12_8238",4,8238,"g3","Cas9",42616,0.422376572,1.868077717,22.76555754,0.122914608843314,1.35707069665794,"Replicate1"
"84",84,"D7_8238",4,8238,"g6","BE3",486,0.664609053,-0.952674897,26.42798354,0.135700075276911,1.47897623400366,"Replicate1"
